"Blue","Green Day",,,,,,,,,,,,,,,,,,,,
"Purple",,,,,,,,,,,,,,,,,,,,,
"Pink",,,,,,,,,,,,,,,,,,,,,
"Brown","Woody Herman & His Orchestra","Ziggy Marley","The Weeknd",,,,,,,,,,,,,,,,,,
"Black","Hatebreed","Future","Tamia","Juelz Santana",,,,,,,,,,,,,,,,,
"White","10 Years",,,,,,,,,,,,,,,,,,,,
"Beige",,,,,,,,,,,,,,,,,,,,,
"Gray","ZAYN","Sebastian Yatra","Shadows Fall","Soundgarden","The Allman Brothers Band","Milo Greene","Miley Cyrus","Reik","Porter Robinson",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"201-210",,,,,,,,,,,,,,,,,,,,
"Red",,,,,,,,,,,,,,,,,,,,,
"Orange",,,,,,,,,,,,,,,,,,,,,
"Yellow",,,,,,,,,,,,,,,,,,,,,
"Green","Megadeth",,,,,,,,,,,,,,,,,,,,
"Blue",,,,,,,,,,,,,,,,,,,,,
"Purple",,,,,,,,,,,,,,,,,,,,,
"Pink",,,,,,,,,,,,,,,,,,,,,
"Brown",,,,,,,,,,,,,,,,,,,,,
"Black",,,,,,,,,,,,,,,,,,,,,
"White",,,,,,,,,,,,,,,,,,,,,
"Beige",,,,,,,,,,,,,,,,,,,,,
"Gray","Natalie Cole","R.E.M.","Dierks Bentley","Woody Guthrie",,,,,,,,,,,,,,,,,
