Gray,"Anton Bruckner","Gabriel Faur�","Sergei Rachmaninoff","Christoph Willibald Gluck","Johann Sebastian Bach","Maurice Ravel","Richard Wagner","Gustav Mahler","Pyotr Ilyich Tchaikovsky","Igor Stravinsky","Arnold Schoenberg","Nikolai Rimsky-Korsakov","Johann Strauss II","Felix Mendelssohn","Philip Glass","Sergei Prokofiev","George Frideric Handel","Joaqu�n Rodrigo","Anton�n Dvo_�k","Charles Ives","Maurice Ravel",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Electronic,,,,,,,,,,,,,,,,,,,,,
Red,"David Guetta",,,,,,,,,,,,,,,,,,,,,
Orange,"Illenium","FTampa","Garmiani","Axwell /\ Ingrosso","Sam Feldt","Galantis","Various Artists",,,,,,,,,,,,,,,
Yellow,"Marshmello","Benny Benassi",,,,,,,,,,,,,,,,,,,,
Green,"Major Lazer","Matisse & Sadko","R3HAB",,,,,,,,,,,,,,,,,,,
Blue,"Lulleax","Ed Sheeran","Fedde Le Grand","Axwell","IZECOLD","Martin Garrix","San Holo","Parker","Yellow Claw",,,,,,,,,,,,,
Purple,"Mark Knight","Jarryd James",,,,,,,,,,,,,,,,,,,,
Pink,"Major Lazer","Romy","Miley Cyrus",,,,,,,,,,,,,,,,,,,
Brown,"Illenium","Major Lazer","Morgan Page","Ferry Corsten","Family and Friends",,,,,,,,,,,,,,,,,
Black,"Major Lazer","The Shapeshifters","Calvin Harris","Tom Hangs","Late Night Alumni","Avicii","Sunfreakz","deadmau5","Kaskade","Hardwell","W&W","Gareth Emery","Tash SulBeigea","The Chainsmokers",,,,,,,,
White,"Kaskade",,,,,,,,,,,,,,,,,,,,,
Beige,"Toni Braxton","The Chainsmokers",,,,,,,,,,,,,,,,,,,,
Gray,"DJ Snake","Bibio","Kaskade","Martin Garrix","Icona Pop","Madison Mars","Eric Prydz","Zonderling","Eric Prydz","Joachim Garraud","Axwell","Krewella","Ti�sto","John De Sohn","Kaskade","Guru Josh Project","Martin Garrix","Hardwell","Steve Angello","Armin van Buuren","Sander van Doorn",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
