,Rock,,,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/e2c06912b888992152b0355f860624e5f3b89a5f","https://i.scdn.co/image/b63a4c4bf11b45d02f3c7c2deba7f77867e4cffb","https://i.scdn.co/image/7041df5b2fbbe32abc7923e5d06417b2b8497900",,,,,,,,,,,,,,,,,,,,,
Blue,"https://i.scdn.co/image/8581cb58ce928aad955ae68087665a66562c550d","https://i.scdn.co/image/315d11e46a2e9190e16e2e33e24020bdbf5f7958","https://i.scdn.co/image/fecfe12bfd4a6f730f18d83a9a08ed45e2adddbf","https://i.scdn.co/image/c94d87f743f11254bdd0ffc5434b59dba851d7d6",,,,,,,,,,,,,,,,,,,,
Purple,"https://i.scdn.co/image/43878224b9393aafa13120751cf9a3acf234c255","https://i.scdn.co/image/bfe3e58f2f6c440dfab15937f4af2e3202a2a5af",,,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/cbaae5a0a78584e707943c56035123195639a48b",,,,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/c1198389b8aa0fa3ff453e4c7bdc2b1665e70386","https://i.scdn.co/image/c6d02f2c419e9225c82a0999e0d041a3168cfd65","https://i.scdn.co/image/0646c58797b2cbdd5e4d0740a600ebbf3757c9fa","https://i.scdn.co/image/da9e5983ce891e06a85905289742f14eb193a681","https://i.scdn.co/image/4c08bc6c458173cc32dcc7f25bc53c56c4a24164","https://i.scdn.co/image/cc50d666b08d7a46b229fe8cbe345eea29e99d3f","https://i.scdn.co/image/44797cac48a2451d172837bb53e4477eab7710ec","https://i.scdn.co/image/8d2e409bb03255cabdfd239e2b311f8a4581b7cd","https://i.scdn.co/image/31b0a579225a718b4b1aea0ac6f9e9bdd3da17b0",,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/ed8b619e4f46507aad2b6337dc287c15e726a997","https://i.scdn.co/image/04ccb28b0602fe535f0ddb2cc82396c4a65ec4a4","https://i.scdn.co/image/5e49036d2121a0e78c88b6cee6d4c7ede65045c3","https://i.scdn.co/image/01f338cac71773d30f27b602d7536be44732272f","https://i.scdn.co/image/e061d2eea139965cca82778f7d6f822384d2a344","https://i.scdn.co/image/9ea9889e18816427374c1e6f86d170ea6553ef5f","https://i.scdn.co/image/bae9d32d173070c30381b96b3dd9e2ab258d999d","https://i.scdn.co/image/f56f23cbd3783f8594a4871ca0424ffb9de7a5cd","https://i.scdn.co/image/fa955ebced60624cb64bee39a2f3340001aa93f9","https://i.scdn.co/image/bb0e596fd3deb59176e61859268a1c8bb41680fa","https://i.scdn.co/image/c4ec1230b61193a5b4581e6a728e3555c7af812e","https://i.scdn.co/image/a3b73329f217d318144e643080621ac3294f16d8","https://i.scdn.co/image/8ba7dfdcff5065943f88a9f97cdf2971f1622f40","https://i.scdn.co/image/b4714732cab11a52755c0dfc37aa0134466bdc59","https://i.scdn.co/image/c84a28f089032c495cdf7c2ef90eee331a84842c",,,,,,,,,
White,"https://i.scdn.co/image/4044c3bdc55263cf7a3fc8acaf55df1e60e57b8a",,,,,,,,,,,,,,,,,,,,,,,
Beige,"https://i.scdn.co/image/a6721602f7f9b2e49aea4752c2929950b3256e4e","https://i.scdn.co/image/6c3362dd3cc2c87601373199a61d447ae9ff98d1","https://i.scdn.co/image/a97a7ff8a14bac751e17604a2ff2b1db5bcbfa1f",,,,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/069fcbc61bf924869f7c21880213e2189d18c04c","https://i.scdn.co/image/b948e88ba7f9ba4e471cf955d2e11241c268a765","https://i.scdn.co/image/58e8e039e3fda9297f52096c561e68f54fd1caf2","https://i.scdn.co/image/fe5b2783211d8e93fd4d2d072ea8546de3f43b51","https://i.scdn.co/image/0943bf8d5a4c0edc4054fac4a51c084ca5360d08","https://i.scdn.co/image/e73c706e842eb5233eab7afd3404218a2696d568","https://i.scdn.co/image/5bfea67b20718d9706b72ac86c4525dc54a77bc1","https://i.scdn.co/image/51a14afa5f6c046d2776d75152fb8e95958a7b7d","https://i.scdn.co/image/8e27a6ecc55e623ef4bf695397782d40e15fd573","https://i.scdn.co/image/0068185d3922ef1b88567dad102329cf23474deb","https://i.scdn.co/image/b40268c402c5eb7808d2d6658f439280393bdc06","https://i.scdn.co/image/159fea05fa74b35d3896f437f2397c82ca6b4fb8","https://i.scdn.co/image/4f8662591f25d1402fd9d5eac915dbe802302182","https://i.scdn.co/image/d3bfde1c81f2aab192eec6a5658c5ae0c0840fd8","https://i.scdn.co/image/7965b55791d1f43da3631820f7c37277b193fad8","https://i.scdn.co/image/a38432388ed6900c20a410733e0650e8ffcc2960","https://i.scdn.co/image/776eb030d72ffb01c44440a999d2755c878f2053","https://i.scdn.co/image/4ca90f6050d321d8df3eca806a862836af3d39a7","https://i.scdn.co/image/ad43f4ffde7bdaef62212483e97032317830d31a","https://i.scdn.co/image/dda62c3439909ca6a443d527a48de1de6e11db30","https://i.scdn.co/image/6f93b7996608045d98826bc590f758fec89cf64d",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Folk,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/29b5798d8694e956515360686d0352d18bb5d94b","https://i.scdn.co/image/c12d52e64c588a599cd2700822add0ae5a629d0e","https://i.scdn.co/image/be1fa6f5bb206680726206edf67eda77a9fa8fa9","https://i.scdn.co/image/ea5042cfa65e45e54b0e30afb6474627f9443e7c","https://i.scdn.co/image/c6cd5df2da6902111b42a474ee705aa1605ac6c6","https://i.scdn.co/image/cbbe70ca48110deb55660cffa706769fb176c9aa",,,,,,,,,,,,,,,,,,
Orange,"https://i.scdn.co/image/546630738b67fb49b5f718b383bfaf34d4657fb6","https://i.scdn.co/image/aa51ac16be32cc4c0ef2d50bb8187278dee99d04","https://i.scdn.co/image/9077691f5cffc5a3f2869de0afffd7de32668287","https://i.scdn.co/image/137924a5aae930cf1baae2790deacc36dca8225d",,,,,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/78a9bfda0ad4a4bc41ff301fa4a1349483d6af1c","https://i.scdn.co/image/c20a59e24695b25adaa527c50f8bcb896e04d3af","https://i.scdn.co/image/808f8162754a516f04f93d5796315693cda75a74","https://i.scdn.co/image/87e10121fe0b6d7a31fc1ea7369a60c81feefb7f","https://i.scdn.co/image/56e1e3fed4a5e4ad008abd81e424c042d6dafd47","https://i.scdn.co/image/e891c871121bd87b44e4ade7c4924e24f9ee5748","https://i.scdn.co/image/876905d8e8a98327bf513da920354ca1c74a92c5","https://i.scdn.co/image/f0996a03df8f0e8a92041249a47606a020ace8ed",,,,,,,,,,,,,,,,
