Blue,"https://i.scdn.co/image/017f05aea238929a9b3970743a879c90bfff23ca","https://i.scdn.co/image/876dff42d861f2403b6bf6338bde53c2868479e8","https://i.scdn.co/image/e6a84983ed9b0a04ce633b021329f7df034e7c7c","https://i.scdn.co/image/d994664fe58a6436a4ba4195617463cc8d60ed1d","https://i.scdn.co/image/2ea8b06d4eb92c2c9f0a1ac6f31398c2d5bacb3e","https://i.scdn.co/image/06cae8d5a5c1a1e8d9e41a8c4f0866936a55515d","https://i.scdn.co/image/ac40569e12ae690607a22b41eb77e6681a9f5155","https://i.scdn.co/image/6c815ce2d920f7b9fe8c5ced8de3fbb92086d5ec","https://i.scdn.co/image/fa314ab8d2d422f1c81941a4a8c5db281018b784","https://i.scdn.co/image/1d1f1da622055407f1154e1af93a51a629c84a01","https://i.scdn.co/image/1cd75171d6593fc4d9b59fdcfeb2d0577d660649","https://i.scdn.co/image/621d2909bcc2c26cd0b274aab0414c9d422a1576","https://i.scdn.co/image/95643469571d5490425154ca33c1550ac3fb9695","https://i.scdn.co/image/1870e3c0e5abc4a58cfbfb8aeaf3b6a57b88eb87","https://i.scdn.co/image/559108cb16ce2ed5284c0f75d85ed28cf6e7e308","https://i.scdn.co/image/dc5c13d9d7e1f2bd57ee3cecc6a9f55e412e5092","https://i.scdn.co/image/4f209f5fa9d4ee65215f0dcc5fb513a4119cef10","https://i.scdn.co/image/6538912b146e0dd3a4d981801cc89216f1480648","https://i.scdn.co/image/d4e1e2ea4e73c381035f7770ed318824b9d2df14",,,,,,
Purple,"https://i.scdn.co/image/de4f14f40d4244c9b54d42ca364bc79c6ee55c9b","https://i.scdn.co/image/62445185cfdb6105cb9e65e495539f1bb364d3cf",,,,,,,,,,,,,,,,,,,,,,,
Pink,"https://i.scdn.co/image/a72c8dadc57bea56d4e6c7ead0afd62fc1769f86","https://i.scdn.co/image/2f4c005f07579f67d5e3f29c6c9bfe670e16c1a2","https://i.scdn.co/image/0a37a0864f1ba09516e0c5cd614499bfd2d62560","https://i.scdn.co/image/8b596d4fac40d882b39ad27e14cc989889a897d4",,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/50265274d7b52b58a830b92ec9f70dfc91e15234","https://i.scdn.co/image/c6d02f2c419e9225c82a0999e0d041a3168cfd65","https://i.scdn.co/image/0646c58797b2cbdd5e4d0740a600ebbf3757c9fa","https://i.scdn.co/image/861dd5ecd63546ef0b5ea09c7af8f2a8aecf4dc4","https://i.scdn.co/image/f1c71e5d6cfd7b1f447c0207d75cbe18a64557c4","https://i.scdn.co/image/b8e654b7154a051c6634343cbfa2c6897b95b52b","https://i.scdn.co/image/d164559e048a94f4847e60dda3ffb8f4bfee4f31","https://i.scdn.co/image/d433e8c739695f88784b9e36912b305ceca5076a","https://i.scdn.co/image/da9e5983ce891e06a85905289742f14eb193a681","https://i.scdn.co/image/4c08bc6c458173cc32dcc7f25bc53c56c4a24164","https://i.scdn.co/image/95ecc317bd38f4cfe53baac9fc4a42e22b0d7f55","https://i.scdn.co/image/71e6a72a1b3a00d2ddabee9a3e2d5ade3be25409","https://i.scdn.co/image/b28354990303194cae0d3f0d21211711ff374bbb","https://i.scdn.co/image/baff341635bec603e5d791abe127a34201b0860c","https://i.scdn.co/image/15651a052cd8ecdebeb11ca725bf4b9e812db9a1","https://i.scdn.co/image/a1fa7f590996868ebd1248aab3233e793db22fd7","https://i.scdn.co/image/25e2b6f33844c92542321bb5c234e801c408beb8","https://i.scdn.co/image/e31fcd61151d94dd25ee21f725caad81acb7e383","https://i.scdn.co/image/5bda0fc91fbc18a112278a3458ed3a9c6334af88","https://i.scdn.co/image/07b676744d50ad3b59e55e744c124765eb769056","https://i.scdn.co/image/87d0b1856d2c2ce55fdb4c8129e47a6df6f33aff",,,,
Black,"https://i.scdn.co/image/d3597aeaec7d2b295bfcafd4f9e469788f698370","https://i.scdn.co/image/04ccb28b0602fe535f0ddb2cc82396c4a65ec4a4","https://i.scdn.co/image/46452be8110d1885a917391230e6d89efdc0069c","https://i.scdn.co/image/f06f0658ccc185e6e884fe4af76b217c4fe478c7","https://i.scdn.co/image/225d4551ebc93b56b897b75c695b39ac61c4401c","https://i.scdn.co/image/8e653240017bbb3fba7313dfa4a887cc06a4a238","https://i.scdn.co/image/dfbaa65e99a6635dd7c571dc5ae9faf93b3af189","https://i.scdn.co/image/85236cc12312fac9405206c25bd38479e63a04d6","https://i.scdn.co/image/3edb3f970f4a3af9ef922efd18cdb4dabaf85ced","https://i.scdn.co/image/b1400eb570c33eaad30cedfff58cabf9ccddd33c","https://i.scdn.co/image/9cdff92f505db96eaad31ddb055977a118cac6db","https://i.scdn.co/image/9e6d6908d0bffe5d6d58748d453f9f2e6181c2d1","https://i.scdn.co/image/b9970bf538c792d2fd116c1671a4a29162b7f01f","https://i.scdn.co/image/5e49036d2121a0e78c88b6cee6d4c7ede65045c3","https://i.scdn.co/image/071c7f412110d8754756e1833d978e5099a42648","https://i.scdn.co/image/f6ad32a19fa656ac94213e258cdab2ee1eb042ea","https://i.scdn.co/image/b83dd31f940cb5e1368a2dbb2a394555dafd9669","https://i.scdn.co/image/abad7de9b2050022d87056fa4719b8a0685dcefb","https://i.scdn.co/image/f491552bd6193c4622f1b4235bdf8179911ed1b0","https://i.scdn.co/image/61bf0f05ca64701f65e1a7f2cc317030f05f5f05","https://i.scdn.co/image/23f0e53e68858fe25ab574eca5821849496b45d4",,,,
White,"https://i.scdn.co/image/deee172efd0ad5f93e3b853730e5d186f2d03c41","https://i.scdn.co/image/f073db141df494b824a7ef5f3ebd2a653be78992","https://i.scdn.co/image/b4f5bf11d665ee11a9b7cffcdc1487489826d4df","https://i.scdn.co/image/edcc53317411b5e025e920857fb0f871c4087ce9","https://i.scdn.co/image/3f2aab0b3738849b998616ed8a12e4bb5bb4c86c","https://i.scdn.co/image/8309ef0d95d908f7a2f2d1f74d2c9599c91dbf37","https://i.scdn.co/image/cc39d0592479a802cc3b61b4a26b9349bba0a445","https://i.scdn.co/image/50aa1c2e65bec0c5f7e54a64f39eee4cc59549d5","https://i.scdn.co/image/561cd6ef162eb9c6d82ef3a4764e1da2105b1ed0","https://i.scdn.co/image/480048f32e1d99d4cdd1833f162b284514734f72",,,,,,,,,,,,,,,
Beige,"https://i.scdn.co/image/885b16970533511d3067f40de5332bb17552302d","https://i.scdn.co/image/66f808e859993f0100fea78f37462ea8925f9ec2","https://i.scdn.co/image/5d2a70fba9fe46fbdcfb4f7577dde7869f2ad9cd","https://i.scdn.co/image/4d8256cad24fce3afd07d4a3d21d379f00388dfc","https://i.scdn.co/image/6c3362dd3cc2c87601373199a61d447ae9ff98d1","https://i.scdn.co/image/df6d664c56fc929d07b9e0e60d83319d26dc82f0",,,,,,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/069fcbc61bf924869f7c21880213e2189d18c04c","https://i.scdn.co/image/594340fd535de088674b20df30f1cc8d4cec8640","https://i.scdn.co/image/d0cd8c42f2816b208641d030f809d155a7484756","https://i.scdn.co/image/e4d437831cccc9967dc92726c59e855ac59d6abd","https://i.scdn.co/image/964e87f80e22f2cd1545c23ee9cde663fadf049d","https://i.scdn.co/image/ceb0ef8b249160088ddcc905d95145a76b41f2ba","https://i.scdn.co/image/f55a6b339d3a4d4fc3a624d77f7ecb1c64930c99","https://i.scdn.co/image/b948e88ba7f9ba4e471cf955d2e11241c268a765","https://i.scdn.co/image/17389ebe9eb4c57cb14aa970cdeb60c214bbb58a","https://i.scdn.co/image/679472c6c90c259f3ed625bfa495b5a202d60e66","https://i.scdn.co/image/10bcac84a08e89b4d890509584fc3e7b167f549f","https://i.scdn.co/image/58e8e039e3fda9297f52096c561e68f54fd1caf2","https://i.scdn.co/image/1b2dea302aea0f4aba76f6c13fdd9981db14f050","https://i.scdn.co/image/2e441ae8f2ba07d3545d263094512bd157c2c63e","https://i.scdn.co/image/25af5ff3e093079884ea6038ca88f9b536eb35e4","https://i.scdn.co/image/0c99389f756fa08b8c504ebdcb2b00f906aa9b6c","https://i.scdn.co/image/bf6739da5fde5b1c86ba0576ef7c02ed6d58c2d8","https://i.scdn.co/image/e9e5d1bcff10f52857a30cb15f1f6595700232f4","https://i.scdn.co/image/ae67fa6abf93bce85479566effb3ddea6732a284","https://i.scdn.co/image/c25c00b1924f3cc303377224a8a22aa46e7bfadc","https://i.scdn.co/image/4cb7f82b38a318311e2726509577bd5574228556",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
