,Red,Orange,Yellow,Green,Blue,Purple,Pink,Brown,Black,White,Beige,Gray
,,,,,Camila Cabello,,,,Taio Cruz,,,The Chainsmokers
,,,,,Jennifer Lopez,,,,Flo Rida,,,AJR
,,,,,Selena Gomez & The Scene,,,,Macklemore & Ryan Lewis,,,Shaggy
,,,,,Troye Sivan,,,,Lauv,,,Phoenix
,,,,,,,,,,,,Janet Jackson
,,,,,,,,,,,,Destiny's Child
,,,,,,,,,,,,DREAMERS
,,,,,,,,,,,,The Chainsmokers
,,,,,,,,,,,,Red 5
,,,,,,,,,,,,The 1975
,,,,,,,,,,,,Hailee Steinfeld
,,,,,,,,,,,,EMF
,,,,,,,,,,,,
R&B,Jacob Banks,,,Jidenna,Bryson Tiller,Marvin Gaye,Rico Nasty,Jean Knight,Lalah Hathaway,Leikeli47,Kash Doll,Aaliyah
,Usher,,,Joe,Jeremih,,,Yo-Yo,PARTYNEXTDOOR,Gladys Knight & The Pips,Martha Reeves & The Vandellas,En Vogue
,Kehlani,,,Jhene Aiko,Tinashe,,,Ms. Lauryn Hill,Randy Crawford,The Marvelettes,,BJ The Chicago Kid
,SG Lewis,,,Klymaxx,Patti LaBelle,,,Minnie Riperton,Jeremih,,,SZA
,,,,Deniece Williams,Kelly Rowland,,,Jocelyn Brown,August Alsina,,,Xscape
,,,,,Mary J. Blige,,,Tory Lanez,George Benson,,,Miguel
,,,,,,,,Fats Domino,Beyoncé,,,Tamia
,,,,,,,,Frank Ocean,Chris Brown,,,Eric Bellinger
,,,,,,,,Eric Bellinger,Ann Peebles,,,Beyoncé
,,,,,,,,Kari Faux,Tamia,,,Keyshia Cole
,,,,,,,,,,,,Tory Lanez
,,,,,,,,,,,,The Supremes
,,,,,,,,,,,,Jeremih
,,,,,,,,,,,,SWV
,,,,,,,,,,,,Brenda Russell
,,,,,,,,,,,,Meli'sa Morgan
,,,,,,,,,,,,The Staple Singers
,,,,,,,,,,,,Diana Ross
,,,,,,,,,,,,Lyn Collins
,,,,,,,,,,,,Teena Marie
