,Spring,,,,,,,,,,,,,,,,,,,,,,
Beige,"https://i.scdn.co/image/a6721602f7f9b2e49aea4752c2929950b3256e4e","https://i.scdn.co/image/5d2a70fba9fe46fbdcfb4f7577dde7869f2ad9cd","https://i.scdn.co/image/aadba069885777d4cfd1102b5bdb6935d97e211f","https://i.scdn.co/image/f9eabf58e2f22160e56deb26131455d14cb8c853","https://i.scdn.co/image/a97a7ff8a14bac751e17604a2ff2b1db5bcbfa1f","https://i.scdn.co/image/6c88ca82d21aa5cb5b80a53a388ef6f551249cc8","https://i.scdn.co/image/d7f9b43755bdb0272b77c37bab7314bf0c46b84e","https://i.scdn.co/image/3bd51bccab26a6bbed9ffc9e61cfa0bfa8a8d746",,,,,,,,,,,,,,,
Gray,"https://i.scdn.co/image/c34cb2d0fd542c10b64064bbc32cc48a4b494153","https://i.scdn.co/image/94c5a5ff29fcccd055c0c561c171a7ff07c585e3","https://i.scdn.co/image/ec72b9151a400d6ece9beb9f65d55ad37491627c","https://i.scdn.co/image/c04115c17ea91f6863cfd8fa9876c7a66fc87a8f","https://i.scdn.co/image/af176511d7568d147d25b9436ed5508360504c66","https://i.scdn.co/image/01f052d7f0f1df2a4584cc75b67639a51d7f631a","https://i.scdn.co/image/ab722d8c4b2727cbdd8a109a205918c68386ef25","https://i.scdn.co/image/ced97f1b18277b52d7bbf8e5149e3b3f1946d572","https://i.scdn.co/image/9efbe67c1accdb61e9897365acdbcefb1240e743","https://i.scdn.co/image/056d5d03db611ad1b9f00b1c3d19b7acf989b62e","https://i.scdn.co/image/069fcbc61bf924869f7c21880213e2189d18c04c","https://i.scdn.co/image/10bcac84a08e89b4d890509584fc3e7b167f549f","https://i.scdn.co/image/25af5ff3e093079884ea6038ca88f9b536eb35e4","https://i.scdn.co/image/698b8befcf3f02ff059f5f85d262c5073f653225","https://i.scdn.co/image/1b9620a8657dd6853437d914896cd314cde1e19c","https://i.scdn.co/image/34b238f37cafaf4171334955a0bdf689b7d9b1d4","https://i.scdn.co/image/4e10a4b20a4329cf083db88ad80c756df5e8c247","https://i.scdn.co/image/06c6d5f79961a2611c72ba9971e5f41615c4897c","https://i.scdn.co/image/84b0120927edc55e8e559d6527339432c2938d17","https://i.scdn.co/image/5bfea67b20718d9706b72ac86c4525dc54a77bc1","https://i.scdn.co/image/79b4ce3c6c0f88e0c3a12bfd7fb49b02568459f7",,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Fall,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/39ac61b157b85d869c593e7d7efa47c125f97bfc","https://i.scdn.co/image/cea8f86b1a8eda7fa7024093186c4517fdde22ac","https://i.scdn.co/image/8966f2c4cbf7e47c8c978daa85349a9d57d5d3b8","https://i.scdn.co/image/a856dd76dad35113180b12fcd881f62190df8b54","https://i.scdn.co/image/96f22afcf6eaf5d1a9deb873ee3586f0911b1c6b","https://i.scdn.co/image/77b341b359801e4a136b188987ff42ec28a74cc0","https://i.scdn.co/image/7544230f22eb28e3fbcf2077a5de60a495ca4090","https://i.scdn.co/image/cbbe70ca48110deb55660cffa706769fb176c9aa","https://i.scdn.co/image/7270bfb653d29c1d5010e21f5b94bec219ff64d3","https://i.scdn.co/image/de693f63e4f4f2796ff448ccd73d4b4831faf30b","https://i.scdn.co/image/69c99b0e816a5113979c6b99df671eb9d762cde6","https://i.scdn.co/image/c3d7522d0659900db3d7f06c5dffd3a0685ee01d","https://i.scdn.co/image/e2901efefc34c92cc9de3c215a68115ee6e9838d",,,,,,,,,,
Orange,"https://i.scdn.co/image/aa51ac16be32cc4c0ef2d50bb8187278dee99d04","https://i.scdn.co/image/6113c3917af550e4d5e57ceb28b850375079a150","https://i.scdn.co/image/3ee0e67a91b6c8b4b4e16b35af09b24f90293747","https://i.scdn.co/image/724f77162f37738fa303bd01c41484110d409618",,,,,,,,,,,,,,,,,,,
Yellow,"https://i.scdn.co/image/808f8162754a516f04f93d5796315693cda75a74","https://i.scdn.co/image/7ca5f44909380bbe4155492e4bc7fc6d0ff44745",,,,,,,,,,,,,,,,,,,,,
